,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Release_Date,Genres,Release Year
12885,1.8,4,0,2,1,2,0,"May 29, 2014","[""'Racing'"", ""'RPG'"", ""'Shooter'"", ""'Simulator'"", ""'Strategy'""]",2014
12886,2.7,24,1,7,2,0,1,"Apr 01, 2017","[""'Adventure'"", ""'Indie'"", ""'Shooter'"", ""'Simulator'""]",2017
12887,3.0,191,2,62,17,48,11,"Jul 13, 1991","[""'Shooter'""]",1991
12888,1.4,23,0,5,7,9,4,"May 16, 2008",[],2008
12889,2.7,14,0,21,3,17,3,"Mar 27, 2019","[""'Visual Novel'""]",2019
12890,2.9,236,1,13,9,44,11,"Sep 01, 1983","[""'Sport'""]",1983
12891,2.6,93,0,3,5,8,0,"Jan 13, 2015","[""'Adventure'"", ""'RPG'"", ""'Simulator'""]",2015
12892,2.8,73,0,2,4,5,2,"Jan 12, 2016","[""'Adventure'"", ""'RPG'"", ""'Simulator'""]",2016
12893,3.2,5,0,5,1,3,0,"Nov 07, 2017","[""'Simulator'""]",2017
12894,1.9,19,0,37,0,6,0,"Apr 05, 2016","[""'Arcade'"", ""'Indie'"", ""'Real Time Strategy'"", ""'Shooter'"", ""'Strategy'""]",2016
12895,3.2,3,0,1,0,1,0,"Mar 11, 2020","[""'Indie'"", ""'Shooter'""]",2020
12896,3.8,26,1,8,2,11,0,"Nov 27, 2006","[""'Adventure'"", ""'Puzzle'""]",2006
12897,1.8,7,1,1,0,4,0,"Apr 02, 2001","[""'Sport'""]",2001
12898,3.1,15,1,6,11,3,2,"Aug 08, 2019","[""'Adventure'"", ""'Indie'"", ""'RPG'""]",2019
12899,3.2,2,0,0,0,0,0,TBD,"[""'RPG'""]",2024
12900,1.9,5,0,0,1,1,0,"Jan 31, 2019","[""'Indie'""]",2019
12901,3.2,1,0,16,0,10,0,"Nov 25, 2014",[],2014
12902,3.2,8,0,42,4,9,0,"Dec 31, 1996","[""'Strategy'""]",1996
12903,2.8,22,0,5,2,4,5,"Feb 03, 2011",[],2011
12904,3.2,8,0,2,0,0,0,"Apr 25, 2002","[""'Simulator'""]",2002
12905,1.8,8,0,1,4,5,1,"Nov 01, 2011","[""'Racing'""]",2011
12906,2.9,28,0,1,2,1,0,"Oct 27, 2011","[""'Shooter'""]",2011
12907,1.5,31,0,4,1,9,1,"Dec 05, 1997","[""'Fighting'""]",1997
12908,2.5,170,0,30,30,52,20,"Nov 05, 2019","[""'Indie'"", ""'Shooter'""]",2019
12909,3.2,1,0,9,9,9,0,"Apr 18, 1994","[""'RPG'""]",1994
12910,3.4,27,0,2,3,1,3,"Dec 31, 1990","[""'Indie'"", ""'Puzzle'""]",1990
12911,3.2,0,0,1,0,0,0,"Jan 06, 2020","[""'Indie'"", ""'RPG'""]",2020
12912,3.3,36,0,14,4,8,2,"Dec 31, 2000",[],2000
12913,1.7,55,1,5,2,11,6,"Nov 01, 1991","[""'Platform'""]",1991
12914,2.4,26,0,3,5,3,1,"Oct 13, 2006","[""'Adventure'""]",2006
12915,3.2,60,4,15,31,18,7,"Mar 20, 2019","[""'Sport'""]",2019
12916,3.2,6,0,1,0,3,0,TBD,[],2024
12917,3.2,0,0,1,3,1,0,TBD,"[""'Indie'"", ""'RPG'""]",2024
12918,3.2,0,0,4,10,4,0,TBD,"[""'Indie'"", ""'RPG'"", ""'Strategy'"", ""'Turn Based Strategy'""]",2024
12919,3.1,214,8,55,19,29,22,"May 18, 2005","[""'Adventure'"", ""'RPG'""]",2005
12920,1.3,12,0,3,3,0,0,"Aug 29, 2017","[""'Shooter'""]",2017
12921,3.2,2,0,5,3,2,0,"Sep 10, 1998","[""'Simulator'""]",1998
12922,3.3,5,0,2,1,5,1,"Mar 31, 2020","[""'Adventure'"", ""'Indie'"", ""'RPG'""]",2020
12923,3.7,68,3,31,18,35,9,"Dec 31, 1992","[""'Arcade'"", ""'Shooter'""]",1992
12924,3.6,257,12,279,169,104,11,"Jul 16, 2003","[""'Adventure'"", ""'RPG'""]",2003
12925,4.0,316,13,359,128,193,30,"Oct 01, 1993","[""'RPG'"", ""'Strategy'"", ""'Turn Based Strategy'""]",1993
