"Rating","Plays","Playing","Backlogs","Wishlist","Lists","Reviews","Release_Date","Genres"
"3.8","3.8K","314","2K","1.5K","830","393","Jul 20, 2021","['Adventure', 'Brawler', 'Indie', 'RPG']"
"3.9","8.7K","433","3.3K","2.4K","1.3K","505","Sep 20, 2019","['Adventure']"
"3.3","11K","164","1.7K","523","1.4K","500","Feb 21, 1986","['Adventure']"
"4.0","6.2K","530","2.1K","1K","912","496","Nov 01, 2009","['Adventure', 'RPG', 'Strategy', 'Visual Novel']"
"4.1","6.2K","180","2K","1.4K","1.3K","317","Feb 05, 2009","['Adventure', 'RPG']"
"4.0","11K","203","2.5K","724","1K","401","Aug 30, 2013","['Adventure', 'Platform']"
"3.9","14K","106","1.7K","596","1.6K","433","Oct 13, 2009","['Adventure', 'Platform', 'Shooter']"
"4.3","2K","216","2.1K","1.8K","914","335","Sep 24, 2021","['Adventure', 'Brawler', 'RPG']"
"3.8","12K","536","2.7K","939","975","441","Jan 26, 2018","['Adventure', 'RPG']"
"3.3","3.9K","28","1.1K","833","586","473","Aug 26, 2020","['Adventure', 'Indie', 'Visual Novel']"
"3.0","1.8K","104","913","1.1K","425","308","Oct 14, 2022","['Adventure', 'Indie', 'Puzzle']"
"2.9","15K","130","1.4K","574","930","465","Nov 13, 2007","['Adventure', 'Platform']"
"3.9","9.1K","297","3.4K","1.6K","905","336","Mar 11, 2015","['Adventure', 'Platform', 'Puzzle']"
"4.0","6.7K","349","3.7K","1.7K","1.2K","529","Feb 21, 2017","['Adventure', 'Indie', 'Platform']"
"3.8","13K","147","1.9K","613","1.2K","371","Oct 27, 2002","['Adventure', 'Arcade', 'Racing', 'Shooter']"
"2.7","15K","647","227","23","470","573","Jul 06, 2016","['RPG', 'Simulator']"
"4.3","2.7K","157","1.3K","1.1K","444","352","Jun 30, 2022","['Adventure', 'Indie', 'Platform']"
"3.7","16K","57","733","350","1.1K","528","Nov 09, 2010","['Shooter']"
"4.0","12K","112","1.4K","421","1.4K","618","Sep 14, 2010","['Shooter']"
"4.1","4.7K","424","2.9K","1.2K","1.1K","412","May 23, 2013","['RPG']"
"4.0","4.4K","284","1.8K","2K","1.1K","478","Jun 11, 2021","['Adventure', 'Platform', 'Shooter']"
"4.3","11K","141","1.9K","739","1.4K","432","Dec 22, 2005","['Adventure', 'RPG']"
"4.2","5.7K","130","1.9K","977","1.2K","429","May 06, 2003","['Adventure', 'Platform', 'RPG']"
"4.1","6.2K","100","2.2K","1.2K","1.2K","622","Jul 30, 2019","['Adventure', 'Indie', 'Platform']"
